#1601,"Off-Market on 10/13/2016 at $3,279",studio,1 bath,551 ftsq
#1602,"Off-Market on 09/10/2018 at $2,919",studio,1 bath,453 ftsq
#1603,"Off-Market on 06/02/2018 at $2,854",studio,1 bath,494 ftsq
#1604,"Off-Market on 01/23/2017 at $3,670",studio,1 bath,966 ftsq
#1605,"Off-Market on 07/26/2018 at $4,006",studio,1 bath,996 ftsq
#1612,"Off-Market on 10/25/2017 at $3,499",studio,1 bath,703 ftsq
#1613,"Off-Market on 04/23/2015 at $3,354",studio,1 bath,618 ftsq
#1614,"Off-Market on 08/15/2014 at $3,595",1 bed,1 bath,827 ftsq
#1615,"Off-Market on 02/06/2018 at $3,848",studio,1 bath,822 ftsq
#1617,"Off-Market on 12/16/2015 at $3,907",studio,1 bath,827 ftsq
#1618,"Off-Market on 04/18/2018 at $3,395",studio,1 bath,686 ftsq
#1619,"Off-Market on 07/01/2015 at $4,144",studio,1 bath,991 ftsq
#1701,"Off-Market on 05/05/2018 at $2,830",studio,1 bath,467 ftsq
#1702,"Off-Market on 05/03/2016 at $2,715",studio,1 bath,444 ftsq
#1703,"Off-Market on 09/17/2018 at $2,974",studio,1 bath,454 ftsq
#1704,"Off-Market on 05/03/2018 at $3,515",studio,1 bath,815 ftsq
#1705,"Off-Market on 07/20/2011 at $2,977",studio,1 bath,899 ftsq
#1706,"Off-Market on 05/04/2018 at $3,133",studio,1 bath,526 ftsq
#1707,"Off-Market on 07/12/2017 at $5,504",2 beds,2 baths,"1,075 ftsq"
#1708,"Off-Market on 05/10/2017 at $3,355",studio,1 bath,575 ftsq
#1709,"Off-Market on 05/15/2016 at $3,131",studio,1 bath,582 ftsq
#1710,"Off-Market on 06/04/2016 at $3,230",studio,1 bath,583 ftsq
#1711,"Off-Market on 08/30/2017 at $3,356",studio,1 bath,578 ftsq
#1713,"Off-Market on 05/22/2017 at $3,958",studio,1 bath,826 ftsq
#1714,"Off-Market on 08/25/2017 at $3,694",2 beds,1 bath,766 ftsq
#1715,"Off-Market on 08/12/2016 at $3,219",studio,1 bath,533 ftsq
#1716,"Off-Market on 08/31/2017 at $2,894",studio,1 bath,475 ftsq
#1717,"Off-Market on 12/10/2015 at $2,875",studio,1 bath,480 ftsq
#1718,"Off-Market on 09/09/2015 at $3,327",studio,1 bath,636 ftsq
#1719,"Off-Market on 06/13/2018 at $3,270",studio,1 bath,616 ftsq
#1721,"Off-Market on 04/17/2016 at $3,795",1 bed,1 bath,711 ftsq
#1722,"Off-Market on 08/07/2018 at $5,596",2 beds,2 baths,"1,022 ftsq"
#1723,"Off-Market on 06/16/2018 at $3,125",studio,1 bath,556 ftsq
#1724,"Off-Market on 09/13/2017 at $3,911",studio,1 bath,931 ftsq
#1725,"Off-Market on 05/19/2017 at $3,995",studio,1 bath,943 ftsq
#1801,"Listed for rent at $3,058",studio,1 bath,467 ftsq
#1802,"Off-Market on 08/13/2016 at $2,881",studio,1 bath,444 ftsq
#1803,"Off-Market on 06/12/2018 at $2,825",studio,1 bath,454 ftsq
#1804,"Off-Market on 04/05/2016 at $3,505",studio,1 bath,815 ftsq
