#-802,Off-Market,,,
#1900,"Off-Market on 12/17/2018 at $2,699,000",3 beds,2 baths,"2,114 ftsq"
#1902,"Off-Market on 02/28/2012 at $3,995",1 bed,1 bath,"1,051 ftsq"
#1904,"Sold on 01/24/2013 for $1,052,000",studio,1 bath,"1,174 ftsq"
#1906,"Off-Market on 07/13/2015 at $4,800",1.5 beds,1 bath,"1,077 ftsq"
#1908,"Off-Market on 01/18/2012 at $2,900",studio,1 bath,659 ftsq
#1910,"Sold on 06/15/2006 for $1,960,131",,,
#1912,"Sold on 03/16/2018 for $2,300,000",1 bed,2 baths,"1,809 ftsq"
#1914,"Sold on 11/21/2006 for $1,700,000",,,
#1916,"Sold on 05/17/2018 for $2,050,000",3 beds,2 baths,"1,727 ftsq"
#1920,"Sold on 07/23/2013 for $2,350,000",3 beds,3 baths,"2,300 ftsq"
#1922,"Off-Market on 01/18/2010 at $5,300",1 bed,2 baths,"1,809 ftsq"
#1924,"Sold on 06/20/2016 for $1,645,000",studio,2 baths,"1,509 ftsq"
#1926,"Listed for sale at $1,325,000",studio,2 baths,"1,429 ftsq"
#1928,"Off-Market on 07/07/2016 at $3,950",studio,1 bath,929 ftsq
#1930,"Sold on 08/23/2013 for $1,185,000",2 beds,1 bath,"1,418 ftsq"
#1930F,"Off-Market on 04/14/2009 at $4,500",studio,1 bath,"1,418 ftsq"
#1930UF,"Off-Market on 04/14/2009 at $3,995",studio,1 bath,"1,418 ftsq"
#2000,"Off-Market on 06/19/2018 at $9,300",3 beds,2 baths,"2,114 ftsq"
#2001,Off-Market,,,940 ftsq
#2002,"Off-Market on 07/17/2015 at $1,295,000",1 bed,1 bath,"1,051 ftsq"
#2004,"Sold on 04/23/2018 for $1,255,000",2 beds,1 bath,"1,180 ftsq"
#2004A,"Off-Market on 02/17/2010 at $4,800",2 beds,1 bath,"1,179 ftsq"
#2006,"Sold on 04/02/2013 for $975,000",2 beds,1 bath,"1,076 ftsq"
#2008,"Sold on 05/19/2006 for $605,858",,,
#2010,"Off-Market on 09/26/2006 at $2,395,000",3 beds,3 baths,"2,220 ftsq"
#2012,"Off-Market on 12/03/2015 at $7,900",3 beds,2 baths,"1,809 ftsq"
