#2802,"Off-Market on 05/24/2018 at $2,884",studio,1 bath,682 ftsq
#2804,"Off-Market on 08/31/2018 at $3,350",studio,1 bath,607 ftsq
#2806,"Off-Market on 07/10/2014 at $3,375",studio,1 bath,597 ftsq
#2807,"Off-Market on 02/12/2015 at $3,195",2 beds,1 bath,
#2808,"Off-Market on 07/13/2017 at $3,350",studio,1 bath,630 ftsq
#2812,"Off-Market on 10/24/2013 at $2,795",1 bed,1 bath,
#2901,"Off-Market on 12/27/2017 at $3,000",studio,1 bath,579 ftsq
#2903,"Off-Market on 10/24/2016 at $3,500",2 beds,1 bath,690 ftsq
#2904,"Off-Market on 01/30/2018 at $2,892",studio,1 bath,620 ftsq
#2905,"Off-Market on 02/02/2016 at $3,080",studio,1 bath,612 ftsq
#2906,"Off-Market on 11/30/2017 at $3,041",studio,1 bath,546 ftsq
#3001,"Off-Market on 10/27/2017 at $2,614",studio,1 bath,579 ftsq
#3002,"Off-Market on 02/01/2017 at $2,592",studio,1 bath,
#3003,"Off-Market on 10/17/2013 at $3,450",studio,1 bath,685 ftsq
#3005,Off-Market,,,620 ftsq
#3006,"Off-Market on 09/21/2018 at $3,047",studio,1 bath,
#3007,"Off-Market on 09/17/2018 at $3,000",studio,1 bath,
#3101,"Off-Market on 08/18/2016 at $3,050",studio,1 bath,567 ftsq
#3102,"Off-Market on 04/17/2017 at $2,815",studio,1 bath,570 ftsq
#3104,"Off-Market on 08/22/2014 at $4,695",2 beds,1 bath,"1,000 ftsq"
#3105,"Off-Market on 11/21/2016 at $2,953",studio,1 bath,665 ftsq
#3201,"Off-Market on 08/28/2018 at $4,085",1 bed,1 bath,887 ftsq
#3202,"Off-Market on 10/07/2018 at $3,955",2 beds,1 bath,822 ftsq
#3203,"Off-Market on 02/28/2017 at $4,281",1 bed,1 bath,
#3301,"Off-Market on 04/17/2017 at $4,084",1 bed,1 bath,887 ftsq
#3303,"Off-Market on 02/19/2018 at $3,050",1 bed,1 bath,700 ftsq
100-JOHN-14,"Off-Market on 01/19/2015 at $3,195",studio,1 bath,
#PH,"Off-Market on 10/29/2013 at $18,500",5 beds,5+ baths,"3,100 ftsq"
#PH2,"Off-Market on 01/18/2018 at $15,000",5 beds,6 baths,"3,120 ftsq"
#PH31,"Off-Market on 07/19/2013 at $17,800",5 beds,6 baths,"3,400 ftsq"
#PH123,"Off-Market on 07/08/2013 at $17,950",5 beds,6 baths,"3,400 ftsq"
