#6E,Off-Market,,,
#43WEST,"Off-Market on 07/25/2017 at $38,000",4 beds,4.5 baths,"3,412 ftsq"
43-WEST,"Off-Market on 10/13/2016 at $13,000,000",4 beds,4.5 baths,"3,412 ftsq"
#44B,Off-Market,,,"1,418 ftsq"
#44AE,Off-Market,,,
#44BE,"Sold on 09/19/2016 for $5,104,506",,,
#44W,"Sold on 09/22/2016 for $13,983,255",,,
44A-EAST,"Off-Market on 06/08/2017 at $9,250,000",3 beds,3.5 baths,"2,728 ftsq"
44AEAST,"Listed for sale at $11,850,000",3 beds,3.5 baths,"2,728 ftsq"
44B-EAST,"Off-Market on 03/18/2017 at $13,000",2 beds,2.5 baths,"1,418 ftsq"
#44WEST,"Off-Market on 12/20/2017 at $45,000",4 beds,4.5 baths,"3,562 ftsq"
44-WEST,"Off-Market on 09/27/2016 at $14,000,000",4 beds,4.5 baths,"3,562 ftsq"
#COMM1,Off-Market,,,
#COMM2,Off-Market,,,
#45E,Off-Market,,,
#45W,Off-Market,,,
45-EAST,"Off-Market on 04/05/2017 at $10,900,000",4 beds,4.5 baths,"3,371 ftsq"
45-WEST,"Sold on 06/07/2017 for $15,000,000",4 beds,4.5 baths,"3,576 ftsq"
#46E,Off-Market,,,
#46W,"Sold on 11/15/2016 for $14,289,224",,,
46-EAST,"Off-Market on 09/29/2017 at $12,995,000",4 beds,4.5 baths,"3,371 ftsq"
#46WEST,"Listed for rent at $39,500",4 beds,4 baths,"3,576 ftsq"
46-WEST,"Off-Market on 11/16/2016 at $14,250,000",4 beds,4.5 baths,"3,576 ftsq"
#47E,Off-Market,,,
#47W,"Sold on 12/01/2016 for $13,576,612",,,
47-EAST,"Off-Market on 03/15/2017 at $12,250,000",4 beds,4.5 baths,"3,371 ftsq"
47-WEST,"Off-Market on 06/29/2017 at $39,500",4 beds,4.5 baths,"3,576 ftsq"
#48E,Off-Market,,,
#48W,Off-Market,,,
48-EAST,"Off-Market on 03/15/2017 at $12,000,000",4 beds,4.5 baths,"3,371 ftsq"
48-WEST,"Off-Market on 03/15/2017 at $14,250,000",4 beds,4.5 baths,"3,576 ftsq"
#49E,Off-Market,,,
#49W,"Sold on 11/07/2016 for $15,053,170",,,
49-EAST,"Off-Market on 03/20/2017 at $12,750,000",4 beds,4.5 baths,"3,371 ftsq"
49-WEST,"Off-Market on 11/16/2016 at $15,000,000",4 beds,4.5 baths,"3,576 ftsq"
#50E,Off-Market,,,
