#12111,"Off-Market on 12/17/2010 at $3,760",1 bed,1 bath,825 ftsq
#12117,"Off-Market on 12/23/2010 at $3,310",1 bed,1 bath,690 ftsq
#12118,"Off-Market on 12/23/2010 at $3,560",1 bed,1 bath,825 ftsq
#12123,"Off-Market on 12/30/2010 at $3,560",1 bed,1 bath,825 ftsq
#12130,"Off-Market on 01/07/2011 at $3,535",1 bed,1 bath,825 ftsq
#12203,"Off-Market on 12/10/2010 at $5,900",2 beds,2 baths,"1,050 ftsq"
#12210,"Off-Market on 12/17/2010 at $5,900",2 beds,2 baths,"1,050 ftsq"
#31111,"Off-Market on 03/18/2011 at $3,570",1 bed,1 bath,770 ftsq
#PHB1,"Off-Market on 09/24/2013 at $7,765",3 beds,2 baths,"1,325 ftsq"
#PHA1Q,"Off-Market on 03/20/2015 at $15,000",3 beds,2 baths,
