#31F,"Off-Market on 07/18/2017 at $12,250",3 beds,3.5 baths,"2,100 ftsq"
#31G,"Off-Market on 12/18/2018 at $2,398,000",2 beds,2 baths,"1,190 ftsq"
#31DE,"Off-Market on 04/18/2008 at $3,395,000",4 beds,4 baths,"2,401 ftsq"
#31GG,"Off-Market on 02/21/2018 at $2,490,000",2 beds,2 baths,"1,190 ftsq"
#COM,Sold on 05/23/2011 for $0,,,
#32A,"Off-Market on 03/25/2018 at $9,850",3 beds,3 baths,"1,698 ftsq"
#32B,"Sold on 07/15/2014 for $2,000,000",2 beds,2.5 baths,"1,404 ftsq"
#32C,"Off-Market on 08/15/2017 at $6,100",2 beds,2 baths,"1,150 ftsq"
#32D,"Sold on 06/08/2009 for $699,000",1 bed,1.5 baths,875 ftsq
#32E,"Sold on 12/09/2014 for $2,350,000",2 beds,3 baths,"1,526 ftsq"
#32F,"Off-Market on 11/21/2018 at $4,495,000",3 beds,3.5 baths,"2,097 ftsq"
#32G,"Off-Market on 11/21/2016 at $6,600",2 beds,2 baths,"1,190 ftsq"
#32EF,"Off-Market on 07/28/2014 at $6,695,000",4 beds,5 baths,"3,623 ftsq"
#33,"Off-Market on 12/29/2010 at $3,400",1 bed,1 bath,900 ftsq
#33A,"Sold on 05/18/2007 for $2,148,507",,,
#33B,"Off-Market on 09/03/2015 at $2,100,000",2 beds,2.5 baths,"1,404 ftsq"
#33C,"Sold on 06/21/2018 for $1,720,000",2 beds,2 baths,"1,150 ftsq"
#33D,"Off-Market on 05/16/2013 at $3,995",1 bed,1.5 baths,875 ftsq
#33E,"Sold on 12/19/2016 for $2,550,000",2 beds,2.5 baths,"1,526 ftsq"
#33F,"Sold on 11/07/2014 for $4,000,000",3 beds,3.5 baths,"2,097 ftsq"
#33G,"Sold on 04/17/2017 for $2,500,000",2 beds,2 baths,"1,190 ftsq"
APT-15D,Off-Market,1 bed,1.5 baths,875 ftsq
APT-21E,Off-Market,,,
#4D/4E,Off-Market,,,
#BULK,"Sold on 12/10/2011 for $10,000,000",studio,,
#50C,"Off-Market on 04/26/2015 at $7,500,000",,,2 ftsq
#58B,"Off-Market on 04/26/2015 at $22,000,000",,,"6,250 ftsq"
#59A,"Off-Market on 04/26/2015 at $18,000,000",,,"3,700 ftsq"
#28G1,"Sold on 11/05/2014 for $1,885,000",2 beds,2 baths,"1,190 ftsq"
#PH,"Off-Market on 05/04/2013 at $8,000",2 beds,2.5 baths,"1,404 ftsq"
#3BPH,"Off-Market on 08/10/2012 at $7,800",2 beds,2.5 baths,"1,400 ftsq"
#PH1A,"Off-Market on 11/16/2017 at $9,900",3 beds,3 baths,
#PH1B,"Off-Market on 07/05/2018 at $2,275,000",2 beds,2.5 baths,"1,404 ftsq"
#PH1C,"Sold on 05/25/2007 for $1,445,915",,,
#PH1D,"Sold on 08/21/2015 for $865,512",1 bed,1.5 baths,875 ftsq
#PH1E,"Sold on 05/24/2007 for $2,021,226",,,
#PH1F,"Sold on 06/08/2007 for $3,210,259",,,
#PH1G,"Sold on 06/08/2007 for $1,622,643",,,
#PH1FG,"Off-Market on 08/16/2018 at $15,000",3 beds,4.5 baths,"3,287 ftsq"
PH1F--G,"Off-Market on 10/08/2014 at $19,500",3 beds,4 baths,"3,287 ftsq"
#PH2A,"Sold on 08/01/2014 for $3,125,000",3 beds,3 baths,"1,698 ftsq"
#PH2B,"Off-Market on 06/17/2016 at $10,000",2 beds,2.5 baths,"1,404 ftsq"
#PH2C,"Off-Market on 11/13/2018 at $1,799,000",2 beds,2 baths,"1,150 ftsq"
#PH2D,"Sold on 01/14/2014 for $960,000",1 bed,1 bath,875 ftsq
#PH2E,"Sold on 05/22/2007 for $2,077,230",,,
#PH2F,"Off-Market on 12/04/2015 at $13,500",3 beds,3.5 baths,"2,097 ftsq"
#PH2G,"Listed for sale at $2,175,000",2 beds,2 baths,"1,190 ftsq"
#PH3,"Off-Market on 03/24/2016 at $13,500",3 beds,3.5 baths,"1,400 ftsq"
#PH3A,"Sold on 09/02/2015 for $3,200,000",3 beds,3 baths,"1,698 ftsq"
#PH3B,"Off-Market on 05/22/2014 at $8,000",2 beds,2.5 baths,"1,404 ftsq"
#PH3C,"Sold on 06/12/2015 for $1,800,000",2 beds,2 baths,"1,150 ftsq"
#PH3D,"Off-Market on 04/27/2016 at $4,400",1 bed,1.5 baths,875 ftsq
#PH3E,"Sold on 10/22/2013 for $2,025,000",2 beds,2.5 baths,"1,526 ftsq"
#PH3F,"Off-Market on 01/12/2018 at $12,995",3 beds,3.5 baths,"2,097 ftsq"
#PH3G,"Off-Market on 10/22/2017 at $6,500",2 beds,2 baths,"1,190 ftsq"
