#1025,"Off-Market on 06/13/2018 at $3,000",1 bed,1 bath,670 ftsq
#1026,"Off-Market on 06/07/2018 at $2,699",studio,1 bath,652 ftsq
#1100,"Off-Market on 02/26/2014 at $3,100",studio,1 bath,
#1101,"Sold on 12/18/2017 for $715,000",studio,1 bath,585 ftsq
#1102,"Off-Market on 12/05/2018 at $2,765",1 bed,1 bath,550 ftsq
#1103,"Listed for rent at $2,800",studio,1 bath,521 ftsq
#1104,"Off-Market on 05/10/2018 at $2,700",studio,1 bath,
#1105,"Off-Market on 01/24/2018 at $2,800",1 bed,1 bath,566 ftsq
#1106,"Sold on 01/06/2017 for $1,180,000",1 bed,1 bath,849 ftsq
#1107,"Off-Market on 04/24/2017 at $3,295",1 bed,1 bath,664 ftsq
#1108,"Sold on 02/12/2014 for $1,746,298",3 beds,2 baths,"1,414 ftsq"
#1109,"Sold on 06/17/2013 for $63,374,561",1 bed,1 bath,659 ftsq
#1110,"Listed for rent at $3,795",1 bed,1 bath,700 ftsq
#1111,"Off-Market on 07/27/2017 at $3,150",studio,1 bath,
#1112,"Off-Market on 10/16/2017 at $2,999",1 bed,1 bath,675 ftsq
#1113,"Off-Market on 04/11/2016 at $3,380",1 bed,1 bath,
#1114,"Sold on 04/27/2011 for $679,172",,,
#1115,"Off-Market on 07/17/2018 at $3,250",studio,1 bath,630 ftsq
#1116,"Off-Market on 02/23/2016 at $2,600",studio,1 bath,493 ftsq
#1117,"Sold on 03/18/2016 for $650,000",studio,1 bath,552 ftsq
#1118,"Off-Market on 05/10/2014 at $3,350",1 bed,1 bath,686 ftsq
#1119,"Off-Market on 04/06/2011 at $575,000",studio,1 bath,516 ftsq
#1120,"Sold on 06/30/2011 for $1,654,000",2 beds,2 baths,"1,124 ftsq"
#1121,Sold on 02/27/2017 for $0,2 beds,2 baths,
#1122,"Off-Market on 06/26/2018 at $2,795",studio,1 bath,604 ftsq
#1123,"Off-Market on 09/03/2016 at $2,800",studio,1 bath,619 ftsq
PENTHOUSE8,Off-Market,,,819 ftsq
#1125,"Off-Market on 05/09/2013 at $2,600",studio,1 bath,630 ftsq
